building,street,landmark,locality,vtc,district,state
#696,2nd Main Road,Near Navarang Theater,Rajajinagar  D Block  Gayathri nagar 2nd stage,Bangalore North,Bangalore,Karnataka
#228,"13th Main, Tank Band Road",,Subramanya Nagar,Bangalore North,Bangalore,Karnataka
#2691,11th Main Road,,"D Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
107/A,46TH CROSS,,RAJAJI NAGAR,Bangalore North,Bangalore,Karnataka
#2703,"11th Main,D Block",Near Gayathri Park,2nd Stage Rajajinagar,Bangalore,Bangalore,Karnataka
#3497/15,"6th A Cross,C Block",,2nd Stage Rajajinagar,Bangalore,Bangalore,Karnataka
#2830,"12th Main, D Block",,"2nd Rajaji Nagar, Rajaji Nagar",Bangalore North,Bangalore,Karnataka
#590,3rd Main Road,,A Block 2nd Stage Rajajinagar,Bangalore North,Bangalore,Karnataka
#536,47th Main Road 4th Block,Near Maseedi,Rajajinagar,Bangalore,Bangalore,Karnataka
"# 3130, Highpoint-3",,,45 Palaca road,Bangalore North,Bangalore,Karnataka
"# 3130, Highpoint-3",,,45 Palaca road,Bangalore North,Bangalore,Karnataka
NO 2 A BLOCK,INCOME TAX COLONY,,NO 2 INFANTRY ROAD,Bangalore,Bangalore,Karnataka
#5,A STREET,NEAR INDIAN SWEETS,SHIVAJI NAGAR,Bangalore,Bangalore,Karnataka
# 2093 HIGH POINT-2,PALACE ROAD,HIGH POINT,HIGH GROUNDS,Bangalore,Bangalore,Karnataka
#704,Cunningham Crecent Road,,vasantha nagar,Bangalore North,Bangalore,Karnataka
124,COMMERCIAL STREET,OPPOSITE TO POLICE STATION,SHIVAJI NAGAR,Bangalore,Bangalore,Karnataka
#29.Prathiksha,Syankey Road Croos,Behind Hotel Vindsor Manor,"Abshot Layout, Syankey Road Cross",Bangalore Central,Bangalore,Karnataka
,Special Sub-DVN,P W D High court,P W D High court,Bangalore North,Bangalore,Karnataka
51/2,C T STREET 7TH CROSS,,VASANTH NAGAR,Bangalore,Bangalore,Karnataka
126 1st floor,SEPPING ROAD,,NEHRU PURAM,Bangalore,Bangalore,Karnataka
FLAT 1 D CHARLES COURT APARTMENT,12 REST HOUSE ROAD,,REST HOUSE ROAD,Bangalore,Bangalore,Karnataka
#264,Narayan Pillai Street,,Shivaji Nagara,Bangalore city,Bangalore,Karnataka
96/1,3rd cross lavelle road,NEAR ST JOSEPH INDIAN HIGH SCHOOL,,Bangalore,Bangalore,Karnataka
#28 Q NO,4TH STREET,,MACKAN ROAD CROSS,Bangalore,Bangalore,Karnataka
#21 Q NO,4TH STREET 2ND CROSS,,BHARATHI NAGAR,Bangalore,Bangalore,Karnataka
67/63,16 TH CROSS,OPP NIMAHANS,LAKKASANDRA,Bangalore,Bangalore,Karnataka
#58/3,"Muneshwara 1st Block,  1st Main , 2nd Cross,",,"Mattadahalli, Jayamahal , R T nagar Post,",Bangalore North,Bangalore,Karnataka
# 12 1ST FLOOR,B STREET,,BHARATI NAGAR,Bangalore,Bangalore,Karnataka
21,"U V C E BOYS HOSTEL,CITY CAMPUS,",NEAR CIVIL COURT,K R CIRCLE,Bangalore North,Bangalore,Karnataka
#Flat no 3 Shiv Darashan Appartment,Infantry Road,,Infantry Road,Bangalore North,Bangalore,Karnataka
51/2,C T STREET 7TH CROSS,,VASANTH NAGAR,Bangalore,Bangalore,Karnataka
# 121,SEPPINGS ROAD,,NEHRU PURAM,Bangalore,Bangalore,Karnataka
# 35,2ND CROSS B COOKS ROAD,,THIMMAIAH ROAD CROSS,Bangalore,Bangalore,Karnataka
# 26,LAKSHMAN MUDALIAR STREET,,COMMERICAL STREET,Bangalore,Bangalore,Karnataka
# 22,BHARATHI NAGAR D STREET,,SHIVAJI NAGAR,Bangalore,Bangalore,Karnataka
# 56 2ND FLOOR,BOWRING HOSPITAL ROAD,CHARCHAND MANZIL,SHIVAJI NAGAR,Bangalore,Bangalore,Karnataka
NO 18,VELU MUDLIAR ROAD,,SHIVAJINAGAR,Bangalore,Bangalore,Karnataka
# 65,12TH CROSS,,VASANTH NAGAR,Bangalore,Bangalore,Karnataka
# 65,12TH CROSS,,VASANTH NAGAR,Bangalore,Bangalore,Karnataka
# 155/2,NARAYANA PILLAI STREET,,BHARTHI NAGAR,Bangalore,Bangalore,Karnataka
# 601 HOYSALA APARTMENT,16/2 MILLER TANK BUND ROAD,,VASANTHNAGAR,Bangalore,Bangalore,Karnataka
# 15/30,7th Cross,,"Someshwaranagar, Tank Garden, Jayanagar 1st Block",Bangalore,Bangalore,Karnataka
room no 2 gate no 3,kasturabha road,,sree kanteerava stadium,Bangalore North,Bangalore,Karnataka
#17,Brad Shaw Street,Near Madini school,Nehrupuram,Bangalore central,Bangalore,Karnataka
#9/1,10TH CROSS VASANTHNAGAR,,SHIVAJINAGAR,Bangalore,Bangalore,Karnataka
#25,S # 4TH STREET SEPPINGS ROAD,,BHARATHI NAGAR,Bangalore,Bangalore,Karnataka
"5th Floor,  M S Building",,,"dr Ambedkar Veedi , K R Circle",Bangalore North,Bangalore,Karnataka
#264,S L N  abharan,G R R kalyanamantapa,narayana pillai street,Bangalore North,Bangalore,Karnataka
#282,,Opp.Makka Masjid,"Nehru puram,Bharthi nagar",Bangalore North,Bangalore,Karnataka
#780,3rd Main 5th Cross,,prakash Nagar,Bangalore,Bangalore,Karnataka
#26,V N R Road,,Madhava nagar,Bangalore North,Bangalore,Karnataka
#36,Hains Road Cross,,Nehru Puram,Bangalore,Bangalore,Karnataka
,,"#154, Thimmaiah Road",Bharathinagara,Bangalore,Bangalore,Karnataka
# 96,Mackan Road,Near Coles Park,Bharathi Nagar,Bangalore,Bangalore,Karnataka
#15/1,Seppings Road,,Shivaji nagar,Bangalore,Bangalore,Karnataka
# 23,Clarks Pet C Street,Dr Venkatraman Street,Kamaraja Road Cross,Bangalore,Bangalore,Karnataka
# 12,L NO 2ND STREET,,LABBAY MASJID STREET SHIVAJI NAGAR,Bangalore,Bangalore,Karnataka
#169/J,,,"Railway Qrts, New Railway Colony,",Bangalore,Bangalore,Karnataka
,,,palace road,Bangalore North,Bangalore,Karnataka
FLAT NO 8 2ND FLOOR AISHWARYA APTS,,OFF BRIGADE ROAD,,Bangalore,Bangalore,Karnataka
#13,3RD MAIN ROAD,NEAR KODAVA SAMAJA,VASANTH NAGAR EAST,Bangalore,Bangalore,Karnataka
# 65,12TH CROSS 8TH MAIN ROAD,NULL,VASANTH NAGAR,Bangalore,Bangalore,Karnataka
# 4,T NO 1ST STREET,,ARUNACHALAM MUDALLIAR ROAD SHIVAJI NAGAR,Bangalore,Bangalore,Karnataka
#7 KUMARA KRUPA GUEST HOUSE QTRS,HIGH GROUNDS SHIVANANDA CIRCLE,,,Bangalore,Bangalore,Karnataka
Karnataka Information Commission M S Building,"Dr, Ambedkar Vidhi",,,Bangalore North,Bangalore,Karnataka
Karnataka Information Commission M S Building,"Dr, Ambedkar Vidhi",,,Bangalore North,Bangalore,Karnataka
#13/1 BRADSHAW STREET,,"NEHRU PURAM,Bharathi Nagar",,Bangalore North,Bangalore,Karnataka
,,,,Bangalore North,Bangalore,Karnataka
#29,,,Krishnappa Layout Lingarajapura,Bangalore North,Bangalore,Karnataka
,"7 th cross,old post office Road,",near chicken market.,,Bangalore North,Bangalore,Karnataka
# 36 K C N Mansion,Yamuna Bai Road,Behind Hotel Solitaire,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
#11,Cresent Road,Near shivananda Circle,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO 4,"K NO 3RD STREET, NARAYANA PILLAI STREET CROSS",NULL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO 4,"K NO 3RD STREET, NARAYANA PILLAI STREET CROSS",NULL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
"#105, Garden Apartment",Vittal Malaya Road,Near UB City,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
#22/1,Millers Tank Bund road,Near Jain Hospital,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO 79,5TH MAIN ROAD 10TH CROSS,NULL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO 79,5TH MAIN ROAD 10TH CROSS,NULL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
# 124/41,Narayana pillai street,Opp Old post office,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
124/1,NULL,NULL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
#31,bharthi nagar B street,nera poorhouse hospital,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
#20,2nd Cross Sulthan Nagar,Near Vallullah School,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
#204 Sambhavnath Appartment,Jain Temple Street,NULL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
#38 / 1,Armstrong Road,NULL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO 205,"45/1,PALACE ROAD",NEAR CHALUKYA HOTEL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
SHESHADRI ROAD,MAHARANI SEIENCE COLLEGE  HOSTEL WARDAN QUARTERS,"OPP, FREE DOM PARK","E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
SHESHADRI ROAD,MAHARANI SEIENCE COLLEGE  HOSTEL WARDAN QUARTERS,"OPP, FREE DOM PARK","E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
#07,2nd Cross 8th Main,Near Mount Carmel College,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
#62/2,11th A Main Road,NULL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO 4,R NO 2ND STREET,BEHIND OM SHAKTI TEMPLE,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO:15,MUTHYALAMMA TEMPLE H CROSS,NEAR MUTHYALAMMA TEMPLE,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
"#35,5/1",SOUTH END STREET,,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO:15,MUTHYALAMMA TEMPLE H CROSS,NEAR MUTHYALAMMA TEMPLE,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO 15,MUTHYALAMMA TEMPLE H CROSS,NEAR MUTHYALAMMA TEMPLE,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
# Embassy Habitat Apartment,6 A Cunningham Road,Near Mount Carmel College,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
# 5,"Q No 4th Street, 2nd Cross",Thimmaiah Road,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO 15,MUTHYALAMMA TEMPLE H CROSS,NEAR MUTHYALAMMA TEMPLE,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
# 1,B Street Mackan Road,NULL,"E Block, 2nd Stage, Rajajinagar",Bangalore North,Bangalore,Karnataka
NO.10,"S.NO 3RD STREET, SEPPINGS ROAD CROSS",NEAR OM SHAKTHI TEMPLE,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
NO.10,"S.NO 3RD STREET, SEPPINGS ROAD CROSS",NEAR OM SHAKTHI TEMPLE,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
NO 26/1,LAKSHMANA MADALIAR STREET,NEAR SHIVAJINAGAR,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
B-03. V M'S APARTMENT,"123/1, INFANTRY ROAD",OPP VIJAYA BANK,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
11-Jan,mamundi pillai street,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"#12, COD Qtrs",Carltan House,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#19,"6th Cross Road, 7th Main Road",NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
NULL,NULL,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#A-17,R B I Officers Quarters,Near Mount Carmel College,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"B-2, Chandana Apartments","82, Infantry Road",NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#06,"10th Street, K Kamaraj Road",,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"A-8,",IN COME TAX COLONY,"NO-2 , INFANTRY ROAD",VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#27/8,"Cubbon Road, Union Steel Cross",,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
124/1,Narayana Pillai Street,Opp Post office,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
SHESHADRI ROAD,MAHARANI SEIENCE COLLEGE  HOSTEL WARDAN QUARTERS,"OPP, FREE DOM PARK",VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
17-Jun,Muruga Pillai Street,Opposite to Arunachalam Choultry,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
NULL,NULL,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
NO:4,R NO 2ND STREET,BEHIND OM SAKTHI TEMPLE,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#15,7th Cross,,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#53(old32),yamuna bai Road 1st cross,near race course,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"42,REST HOUSE APARTMENT",14,,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"#42,REST HOUSE APARTMENT",14,,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 10 Kamal Nivas,Crescent Cross Road,Srikantiah Layout,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 06,10th Street,Kamaraja Road,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 06,10th Street,Kamaraja Road,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 13,14th Main Road,Manooth Towers,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"1/4,marshal cariappa colony",cubbon road,near manipal centre,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 99,Seppings Road,Near Colse Park,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 99,Seppings Road,Near Colse Park,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
2b Ajantha Apartments,24 Lavelle Road,Near Bangalor Club,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 22,Thimmaiah Road C Cross Street,Near Memorial Park,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
2b Ajantha Apartments,24 Lavelle Road,Near Bangalor Club,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 22,Thimmaiah Road C Cross Street,Near Memorial Park,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
2b Ajantha Apartments,24 Lavelle Road,Near Bangalore Club,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
2b Ajantha Apartments,24 Lavelle Road,Near Bangalore Club,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#4,1st Cross Ebrahim Sahib Street,Behind Lababin Masjid,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#27,Old Police Lane C Street Mackan Road,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#27,Old Police Lane C Street Mackan Road,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#27,Old Police Lane Mackan Road C Street,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
26/1 1st Cross,"E Street,bharathinagar",Thimmaiah Road,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"No.d-15, Kamala Mansion","Queens Road Cross, Connaught Road",Kamala Bai School,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 4/1,Crescent Road,High Grounds,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 4/1 Crescent Road,,High Grounds,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"#1/9, F M C C",Cubbon Road,Opp Manipal Center,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No.4/1,Crescent Road,Opposite Golf Course,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No.4/1,Crescent Road,Opposite Golf Course,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"1022, Embassy Habitat",No.59 Palace Road,Beside Mount Carmel College,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"1022, Embassy Habitat",No.59 Palace Road,Beside Mount Carmel College,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No.1022 'embassy Habitat',No.59 Palace Road,Beside Mount Carmel College,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#141,Shivaji Road,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
20,kumar cot layout,madhavnagar near canara bank,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"No 24 , Malhotra Nivas",Vishwanath Rao Road,Madhav Nagar,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"No.3, Annapoorna",Kumara Cot Layout,Behind Janardhana Hotel,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#17 2nd floor,Matman lane,Veerapillai Street Cross,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#341,2nd Street Shivan Chatti Garden,Near Shree Complex,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No. 53/54,Palace Road,Mount Carmel College,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 4/1,Crescent Road,High Grounds,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No.4/1,Crescent Road,Opposite Golf Course,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No.15,7th Cross,Near Corporation Market,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#16,K 5th Street,Seppings Road Cross,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
,,,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No.15,7th Cross,Near Corporation Market,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"#17,2nd Floor",,,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"247/1, Nawab Manzil",Near Makah Masjid,Near Makkah Masjid,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"No.263, Old No.33",Near Makkah Masjid,Near Makkah Masjid,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 62/1,Chikkathayappa Road,7th Cross,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No.4,R. No.2nd Street,Behind Om Sakthi Temple,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
# 11,Seppings Road Cross,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No.22/1,Miller Tank Bund,Jain Hospital,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
# 18,St Marks Road,Near Southam and Company,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#64,1st Floor,Armstrong Road,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
NO 16,7TH CROSS CHIKKATTAYAPPA ROAD,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#48,Kasturiba Road,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"No.10, Cassuriana Street",Thimmaiah Road Cross,Padmini Agarpathy Factory Road,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
145,8th Main Road,Near Tandoori Nites,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#49 2nd Floor Khanijabhavan,Race Course Road,Behind R C College,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#95 2nd Floor,Armstrong Road,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 21/1,Thoppa Madaliar Street,,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"#29, MUKUNDA NILAYA",MADHURA GARMENTES,Behind Tejus bekari,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No.4/1,Crescent Road,Opposite Golf Course High Grounds,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 96 Loyola Mandir,"Lavelle Road, 3rd Cross",,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
# 82,"P M 3rd Street, Mackan Compound",NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
44,7th Main,,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#8,Memorial Street,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
#66,Makkah Masjid Street,NULL,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
Flat No 1203 Embassy Habitat,59 Palace Road Hig Grounds Post,Next To Mount Carmel College,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
"No.1103, High Point-1",10th Floor,,VASANTH NAGAR,Bangalore North,Bangalore,Karnataka
No 11,"P No 3rd Street , Arms Tong Road",Baidwadi Masjid,Bharathi Nagar,Bangalore North,Bangalore,Karnataka
Shanmuga rayan street,,,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
Perumal Muthali Street,,Kondithape,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
,,19 Kutti Street Seven Wells,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
HABIBULLAH ROAD,,,Bharathi Nagar,Chennai,Chennai,Tamil Nadu
NATTU PILLAIYAR KOIL,,SOWCARPET,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
HABIBULLA ROAD,,,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
Saint Xavier Street,,,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
sevenwells,,,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
sevenwells street,,,Bharathi Nagar,chennai,Chennai,Tamil Nadu
Govindappa Naicken Street,,Parrys,Bharathi Nagar,chennai,Chennai,Tamil Nadu
Nattu Pilliar Koil Street,,,Bharathi Nagar,Chennai,Chennai,Tamil Nadu
PARISH VENKATACHALA IYER STREET,,,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
RAGHUNAYAKULU STREET,,PARKTOWN,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
,,,Bharathi Nagar,Chennai G.P.O.,Chennai,Tamil Nadu
,,SEVENWELLS,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
RATNA MUDALI STREET,,KONDITHOPE,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
ANNA PILLAI STREET,,WALLTAX ROAD,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
PATTU RASAPPA STREET,OPPOSITE TO TMMS SCHOOL,SEVENWELLS,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
ADHIYAPPAN STREET,,SOWCARPET,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
savarimuthi street,mannady,,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
MULLA SAHIB LANE,,SOWCARPET,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
REDDY RAMAN STREET,,,SHIVAJINAGAR,Chennai G.P.O.,Chennai,Tamil Nadu
Sadayappan Street,,Seven Wells,SHIVAJINAGAR,Chennai G.P.O.,Chennai,Tamil Nadu
Thirumullai Voyal,Sri Nagar Colony,Thiruvallur,SHIVAJINAGAR,Chennai G.P.O.,Chennai,Tamil Nadu
Moore Street 4th Floor,,,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
New Street,,Mannady,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
Berrar Street,,Kodungaiyur,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
Police Quarters,,,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
Porchuguese Church Street,,Sevenwells,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
Angappa Naicken Street,,,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
Sadaiyappan Street,,,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
Vadakku Sadarkkarai Salai,,Chidambaranar,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
Spring Heaven Road,,,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
Linghi Chetty Street,,,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
,,Sowcarpet,SHIVAJINAGAR,Chennai,Chennai,Tamil Nadu
"Reserve Bank Of India, Rajaji Salai",,,SHIVAJINAGAR,Chennai G.P.O.,Chennai,Tamil Nadu
KONDITHOP CONDAL STREET,,KONDITHOPE,SHIVAJINAGAR,Chennai G.P.O.,Chennai,Tamil Nadu
MOORE STREET,,,SHIVAJINAGAR,Chennai G.P.O.,Chennai,Tamil Nadu
,,"Kachaleeswarar Agraharam, Armenian Street, 4th Floor,",NULL,Chennai G.P.O.,Chennai,Tamil Nadu
METTU STREET,,MUTHIALPET,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
THAMBU CHETTY STREET,,MANNADY,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
Mint Street,,,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
THAMBU CHETTY STREET,,MANNADY,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
KONDAL STREET,,KONDITHOPE,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
THIYAGARAYA PILLAI STREET,,,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
SALAI VINAYAGAR KOVIL STREET,,MUTHIALPET,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
LINGHI CHETTY STREET,,HARBOUR,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
LINGHI CHETTY STREET,,MANNADY,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
,,MUTHIALPET,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
LINGHI CHETTY STREET,,MANNADY,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
LINGHI CHETTY STREET,,,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
LINGHI CHETTY STREET,,MUTHIALPET,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
LINGHI CHETTY STREET,,MUTHIALPET,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
"NO 204, MINT STREET",,,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
GIRI GORI STREET,,,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
Stirincar Street,,,Agrahara Dasarahalli,Chennai G.P.O.,Chennai,Tamil Nadu
Ramakrishna Street,,,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
THAMBU CHETTY STREET,,MANNADY,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
Ramakrishna Street,,,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
Pavalakkarai Street,,,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
,,,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
Pedariar koil street,Broadway theatre,NULL,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
C S NAGAR,PERAMBUR BARRACKS ROAD,NULL,NULL,Chennai G.P.O.,Chennai,Tamil Nadu
Paramanantham Street,,NULL,NULL,Chennai,Chennai,Tamil Nadu
SADAYAPA MESTRY STREET,SEVENWELLS,NULL,NULL,Chennai,Chennai,Tamil Nadu
